Position,C2A,C2G,C2T,G2A,G2C
-36,0,0.9,0.7,0,0.1
-35,0,0.1,0.7,0,0
-34,0,0.1,0.8,0.5,0
-33,0.7,0,1.8,0,0
-32,0.1,0.3,1,0,0.6
-31,0.2,0.7,2,0.3,2.8
-30,0,0.1,1.4,0.4,0
-29,0.2,0.1,1.2,1.1,0
-28,0.3,0.7,2.3,0.9,0.3
-27,0,0,1.3,0.6,0.2
-26,0.2,0.4,2.4,0.3,0.2
-25,0,0.1,2.2,1.7,0.1
-24,0.9,0.1,3.4,0.7,0
-23,0,0.1,2.2,0.8,0.3
-22,0.1,0.1,2.1,0.1,0
-21,0.2,0.1,3.5,0.3,0
-20,0.1,0,5.8,0.1,0
-19,0.3,0.5,16.2,0,0
-18,1,1.3,31.8,0,0
-17,2,2.7,63.2,0,0
-16,2.7,4.7,90.3,0.1,0.2
-15,3,5.4,100,0.01,0
-14,2.7,5.6,87,0,0
-13,1.9,3.9,62,0,0.1
-12,0.8,1.7,31.4,0,0.1
-11,0.6,0.6,16.3,0,0.2
-10,0.3,0.6,10,0,0.2
-9,0,0.4,5.6,0,0
-8,0.1,0.5,3.3,0,0
-7,0.1,0.1,1.9,0,0
-6,0.1,0,1.8,0,0.1
-5,0,0.1,2.4,0.2,0
-4,0,0,1.7,0.2,0
-3,0,0,0.5,0,0
-2,0,0,0.2,0,0
-1,0,0,0.1,0.1,0
